Sample,Class,Abundance
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Bacteroidia,47.41372
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Bacilli,27.34088
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Clostridia,10.69997
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB33839,7.06748
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB2838,1.70824
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB1765,1.14434
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9658,0.83544
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB10290,0.82489
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9656,0.63288
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Bacteria_unclassified,0.46936
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Coriobacteriia,0.39302
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB89417,0.38304
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9836,0.26329
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB28439,0.11727
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9512,0.11453
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Bacillota_unclassified,0.08839
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9644,0.07421
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Verrucomicrobiia,0.0643
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB77303,0.06317
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Deferribacteres,0.04894
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9633,0.04847
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9639,0.04414
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB95048,0.03803
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB3004,0.0364
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9119,0.0309
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB1292,0.02587
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB9617,0.01895
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__CFGB10349,0.00621
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_class,c__Erysipelotrichia,0.00365
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Bacteroidia,49.20841
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB33839,24.37196
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Clostridia,9.34436
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Bacilli,8.3807
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB1765,2.37868
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB2838,1.83564
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB10290,0.68004
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Verrucomicrobiia,0.60742
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9656,0.48991
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Coriobacteriia,0.33433
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Bacteria_unclassified,0.33252
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB8140,0.27291
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9644,0.26273
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB79152,0.24448
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Erysipelotrichia,0.15242
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB3297,0.14414
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB89417,0.11124
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Deferribacteres,0.11055
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB1791,0.09034
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB28439,0.08751
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9658,0.08311
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB1292,0.08046
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB3004,0.0682
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB77303,0.05136
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB95048,0.04464
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB43312,0.04242
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Bacillota_unclassified,0.03987
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9836,0.03181
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9639,0.02579
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9633,0.02408
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9512,0.02063
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB84406,0.01171
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9617,0.01032
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB3023,0.00981
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB9629,0.008
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB28941,0.00422
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__CFGB77250,0.00285
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Betaproteobacteria,0.00028
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_class,c__Alphaproteobacteria,0.00019
