Sample,Family,Abundance
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Muribaculaceae,45.29001
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB33839,24.37196
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Lactobacillaceae,8.37984
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Lachnospiraceae,5.80667
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Tannerellaceae,3.9184
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB1765,2.37868
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Oscillospiraceae,1.97831
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB2838,1.83564
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB10290,0.68004
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Akkermansiaceae,0.60742
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Clostridiaceae,0.51129
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB9656,0.48991
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Eubacteriaceae,0.41634
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Clostridia_unclassified,0.36838
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Bacteria_unclassified,0.33252
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Eggerthellaceae,0.32442
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB8140,0.27291
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB9644,0.26273
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB79152,0.24448
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Pumilibacteraceae,0.16902
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB3297,0.14414
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB89417,0.11124
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Mucispirillaceae,0.11055
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__Coprobacillaceae,0.0923
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB1791,0.09034
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_family,f__FGB28439,0.08751
