Sample,Genus,Abundance
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Muribaculum,34.74397
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Ligilactobacillus,22.77078
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB70848,11.39147
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB1515,7.06748
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Lactobacillus,4.53257
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Lachnospiraceae_unclassified,3.0353
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB29005,1.7062
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Parabacteroides,1.27829
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28419,1.27828
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB31838,1.05756
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Eubacteriaceae_unclassified,0.97061
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB29002,0.83544
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB31438,0.82489
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28996,0.63288
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Schaedlerella,0.50335
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Bacteria_unclassified,0.46936
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB47115,0.38304
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30454,0.32045
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28875,0.2903
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB29685,0.27804
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB29546,0.26329
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28415,0.25217
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30450,0.22965
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28778,0.22048
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Adlercreutzia,0.21826
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28790,0.21764
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Oscillibacter,0.21083
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Clostridia_unclassified,0.19566
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28417,0.17778
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB127981,0.17477
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB115673,0.16755
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28907,0.16224
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28860,0.15124
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28865,0.14535
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28894,0.13232
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28901,0.12967
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30455,0.12912
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28928,0.12744
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30461,0.12582
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28439,0.11727
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28398,0.11453
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Oscillospiraceae_unclassified,0.0959
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28916,0.09108
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB140903,0.09063
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Bacillota_unclassified,0.08839
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB115278,0.08666
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28803,0.08453
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30463,0.08394
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28904,0.0722
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28430,0.06965
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB31701,0.0678
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Anaerocaecibacter,0.06456
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28818,0.06438
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Akkermansia,0.0643
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Lentihominibacter,0.06154
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30141,0.05872
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Clostridiaceae_unclassified,0.05538
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28866,0.05427
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28949,0.05356
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Mucispirillum,0.04894
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28881,0.04847
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28934,0.04414
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28913,0.0381
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB29003,0.03803
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Staphylococcus,0.03753
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB58158,0.0364
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB75109,0.0355
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28793,0.03331
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30296,0.03094
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB47117,0.0309
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28851,0.02981
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB3109,0.02587
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28769,0.02384
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28830,0.0235
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28948,0.02065
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB47156,0.01899
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28776,0.01895
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30475,0.01714
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Lachnoclostridium,0.01101
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30145,0.00739
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB74395,0.00686
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB31853,0.00621
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28879,0.00603
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB41862,0.00445
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30468,0.00435
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28926,0.00387
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__Thomasclavelia,0.00365
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB28965,0.00279
KF30_64_KVE_old_CD1_conventional_stool_240319_profile_genus,g__GGB30301,0.00155
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__Muribaculum,29.0013
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB1515,24.37191
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB70848,16.28871
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__Lactobacillus,7.52584
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__Parabacteroides,3.9184
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB31838,1.93927
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB29005,1.76255
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB25535,1.42257
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB28415,1.4132
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__Lachnospiraceae_unclassified,1.08865
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__Ligilactobacillus,0.85399
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB31438,0.68004
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__Akkermansia,0.60742
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB28892,0.57105
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB28925,0.55191
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB28996,0.48991
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_genus,g__GGB28984,0.33871
