Sample,Order,Abundance
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Bacteroidales,49.20841
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB33839,24.37196
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Lactobacillales,8.3807
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Lachnospirales,5.80667
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Eubacteriales,3.16859
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB1765,2.37868
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB2838,1.83564
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB10290,0.68004
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Verrucomicrobiales,0.60742
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9656,0.48991
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Clostridia_unclassified,0.36838
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Bacteria_unclassified,0.33252
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Eggerthellales,0.32442
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB8140,0.27291
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9644,0.26273
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB79152,0.24448
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Erysipelotrichales,0.15242
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB3297,0.14414
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB89417,0.11124
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Deferribacterales,0.11055
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB1791,0.09034
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB28439,0.08751
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9658,0.08311
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB1292,0.08046
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB3004,0.0682
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB77303,0.05136
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB95048,0.04464
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB43312,0.04242
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__Bacillota_unclassified,0.03987
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9836,0.03181
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9639,0.02579
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9633,0.02408
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9512,0.02063
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB84406,0.01171
KF30_65_KVE_new_CD1_conventional_stool_240319_profile_order,o__OFGB9617,0.01032
